name,Control,H3.3 KD1,RefID
Clrn1,K4,,NM_153384
Atp10d,K4,K4,NM_153389
Lrfn4,K4,K4,NM_153388
H2afz,K4,K4,NM_016750
Slc35b1,K4,K4,NM_016752
Lxn,K4,K4,NM_016753
Mylpf,K4,K4,NM_016754
Atp5j,K4,K4,NM_016755
Cdk2,K4,K4,NM_016756
Wbp1,K4,K4,NM_016757
Rgs14,K4,K4,NM_016758
Rundc3a,K4,K4,NM_016759
Tmem59,K4,K4,NM_029565
Tax1bp3,K4,K4,NM_029564
Ndfip2,K4,K4,NM_029561
Selenok-ps1,K4,K4,NR_004857
Mfap4,K4,K4,NM_029568
Cdk3,K4,K4,NR_004853
Ubl3,K4,K4,NM_011908
Usp18,K4,K4,NM_011909
Mpdu1,K4,K4,NM_011900
Tekt2,K4,K4,NM_011902
Tlk2,K4,K4,NM_011903
Tll2,K4,K4,NM_011904
Tlr2,K4,K4,NM_011905
Tpra1,K4,K4,NM_011906
Trex2,K4,K4,NM_011907
Fam149b,K4,K4,NM_172379
Wdr45,K4,K4,NM_172372
Slc16a13,K4,K4,NM_172371
Nsrp1,K4,K4,NM_001012309
Pard6a,K4,K4,NM_001047436
Pard6a,K4,K4,NM_001047435
Dph3,K4,K4,NM_001047433
Arhgef37,K4,K4,NM_177828
Spink10,K4,K4,NM_177829
Ep300,K4,K4,NM_177821
Taf1,K4,K4,NM_001081008
Trmt2a,K4,K4,NM_001081000
Brca2,K4,K4,NM_001081001
Zfas1,K4,K4,NM_001081005
Zfp382,K4,K4,NM_001081007
Cnih2,K4,K4,NM_009920
Por,K4,K4,NM_008898
Pold2,K4,K4,NM_008894
Pomc,K4,K4,NM_008895
Pnmt,K4,K4,NM_008890
Pnn,K4,K4,NM_008891
Pola1,K4,K4,NM_008892
Pola2,K4,K4,NM_008893
Mad1l1,K4,K4,NM_010752
Mxd4,K4,K4,NM_010753
Mxd1,K4,K4,NM_010751
Mafg,K4,K4,NM_010756
Mafk,K4,K4,NM_010757
Smad2,K4,K4,NM_010754
Maff,K4,K4,NM_010755
Cpsf4l,K4,K4,NM_001164532
Gja1,K4,K4,NM_010288
Zfyve27,K4,K4,NM_001164531
Ggps1,K4,K4,NM_010282
Ggta1,K4,K4,NM_010283
Tsc22d3,K4,K4,NM_010286
Coq2,K4,K4,NM_027978
Thegl,K4,K4,NM_027970
Cfap45,K4,K4,NM_027972
Cenpu,K4,K4,NM_027973
Efhc1,K4,K4,NM_027974
Fam83d,K4,K4,NM_027975
Acsl5,K4,K4,NM_027976
Apmap,K4,K4,NM_027977
Hnrnpa3,K4,K4,NM_053263
Hsd17b11,K4,K4,NM_053262
Impa2,K4,K4,NM_053261
Selenom,K4,K4,NM_053267
Gtf2ird2,K4,K4,NM_053266
Rad51c,K4,K4,NM_053269
Trp53i13,K4,K4,NM_001024920
Stam,K4,K4,NM_011484
Stat4,K4,K4,NM_011487
Stat3,K4,K4,NM_011486
Srms,K4,K4,NM_011481
Srebf1,K4,K4,NM_011480
Snu13,K4,K4,NM_011482
Cyb5d2,K4,K4,NM_001024926
Stat5a,K4,K4,NM_011488
Bex6,K4,K4,NM_001033539
Cass4,K4,K4,NM_001033538
Layn,K4,K4,NM_001033534
Pgap3,K4,K4,NM_001033537
Rfx7,K4,K4,NM_001033536
Klhl32,K4,K4,NM_001033531
AW146154,K4,K4,NM_001033530
Ccdc102a,K4,K4,NM_001033533
AW554918,K4,K4,NM_001033532
Igsf1,K4,K4,NM_177591
Tmem164,K4,K4,NM_177592
Mtmr9,K4,K4,NM_177594
Zfp947,K4,K4,NM_177596
March11,K4,K4,NM_177597
Samd4,K4,K4,NM_001037221
Nphs1os,K4,K4,NR_004443
Prkdc,K4,K4,NM_011159
Vmn2r-ps54,K4,,NR_004441
Zfhx2os,K4,K4,NR_004444
Snord22,K4,K4,NR_004445
Srgn,K4,K4,NM_011157
Prep,K4,K4,NM_011156
Ppp5c,K4,K4,NM_011155
Atg9b,K4,K4,NM_001002897
Tnrc6b,K4,K4,NM_144812
Cbx7,K4,K4,NM_144811
Klhdc8a,K4,K4,NM_144810
Camk1g,K4,,NM_144817
Rhbdl1,K4,K4,NM_144816
Hdhd5,K4,K4,NM_144815
Rcor3,K4,K4,NM_144814
Ccdc92,K4,K4,NM_144819
Ncaph,K4,K4,NM_144818
Cc2d1b,K4,K4,NM_177045
Flad1,K4,K4,NM_177041
Jph4,K4,K4,NM_177049
Asgr1,K4,K4,NM_009714
Atf2,K4,K4,NM_009715
Atf4,K4,K4,NM_009716
Art1,K4,K4,NM_009710
Artn,K4,K4,NM_009711
Arsa,K4,K4,NM_009713
Tlx3,K4,K4,NM_019916
Pias2,K4,K4,NM_001164167
Txn2,K4,K4,NM_019913
Pias2,K4,K4,NM_001164169
Pias2,K4,K4,NM_001164168
Ube2d2a,K4,K4,NM_019912
Tro,K4,K4,NM_001002272
Tbata,K4,K4,NM_001017409
Tbata,K4,K4,NM_001017407
Fstl1,K4,K4,NM_008047
Fxn,K4,K4,NM_008044
Frat1,K4,K4,NM_008043
Dda1,K4,K4,NM_025600
1700029H14Rik,K4,K4,NM_025601
Ccdc59,K4,K4,NM_025602
Psmg3,K4,K4,NM_025604
Lamtor1,K4,K4,NM_025605
Mrpl16,K4,K4,NM_025606
Rnf181,K4,K4,NM_025607
Tab1,K4,K4,NM_025609
Fbxo9,K4,K4,NM_023605
Sfpq,K4,K4,NM_023603
Gdpd2,K4,K4,NM_023608
